handleId;fieldType;name;description;productImageUrl;collection;sku;ribbon;price;surcharge;visible;discountMode;discountValue;inventory;weight;productOptionName1;productOptionType1;productOptionDescription1;productOptionName2;productOptionType2;productOptionDescription2;productOptionName3;productOptionType3;productOptionDescription3;productOptionName4;productOptionType4;productOptionDescription4;productOptionName5;productOptionType5;productOptionDescription5;productOptionName6;productOptionType6;productOptionDescription6;additionalInfoTitle1;additionalInfoDescription1;additionalInfoTitle2;additionalInfoDescription2;additionalInfoTitle3;additionalInfoDescription3;additionalInfoTitle4;additionalInfoDescription4;additionalInfoTitle5;additionalInfoDescription5;additionalInfoTitle6;additionalInfoDescription6;customTextField1;customTextCharLimit1;customTextMandatory1
Product_110;Product;Pousio Selection Blanc 2017;;;"Alentejo;2017;Casa Agricola Herdade Monte da Ribeira;Blanc";ALT-HMR-POUSIOSEL-B-2017;;13.00;;TRUE;;;39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_111;Product;Pousio Selection Rouge 2016;;;"Alentejo;2016;Casa Agricola Herdade Monte da Ribeira;Rouge";ALT-HMR-POUSIOSEL-T-2016;;13.00;;TRUE;;;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_112;Product;Pousio Escolha Blanc 2015;;;"Alentejo;2015;Casa Agricola Herdade Monte da Ribeira;Blanc";ALT-HMR-POUSIO-B-2015;;12.90;;TRUE;;;39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_113;Product;Pousio Escolha Rouge 2014;;;"Alentejo;2014;Casa Agricola Herdade Monte da Ribeira;Rouge";ALT-HMR-POUSIO-T-2014;;12.90;;TRUE;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_114;Product;Pousio Reserva Blanc 2014;;;"Alentejo;2014;Casa Agricola Herdade Monte da Ribeira;Blanc";ALT-HMR-POUSIORSV-B-2014;;17.60;;TRUE;;;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_115;Product;Pousio Reserva Rouge 2014;;;"Alentejo;2014;Casa Agricola Herdade Monte da Ribeira;Rouge";ALT-HMR-POUSIORSV-T-2014;;17.60;;TRUE;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_116;Product;Arinto - Chardonnay Blanc 2016;;;"Lisboa;2016;Casa Santos Lima;Blanc";LIS-CSL-ARINTOCHAR-B-2016;;9.30;;TRUE;;;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_117;Product;Casa Santos Lima AL-Ria Reserva Rouge 2016;;;"Algarve;2016;Casa Santos Lima;Rouge";ALG-CSL-ALRIARSV-T-2016;;15.20;;TRUE;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_118;Product;Casa Santos Lima Late Harvest Liquoreux 2012;;;"Lisboa;2012;Casa Santos Lima;Port/Liquoreux";LIS-CSL-CSLLATE-L-2012;;17.90;;TRUE;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_119;Product;Casa Santos Lima Reserva Blanc 2015;;;"Lisboa;2015;Casa Santos Lima;Blanc";LIS-CSL-CSLRSV-B-2015;;17.90;;TRUE;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_120;Product;Casa Santos Lima Reserva Rouge 2014;;;"Lisboa;2014;Casa Santos Lima;Rouge";LIS-CSL-CSLRSV-T-2014;;19.00;;TRUE;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_121;Product;Colossal Reserva Rouge 2016;;;"Lisboa;2016;Casa Santos Lima;Rouge";LIS-CSL-COLOSSALRSV-T-2016;;10.20;;TRUE;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_122;Product;Merlot Rouge 2010;;;"Lisboa;2010;Casa Santos Lima;Rouge";LIS-CSL-MERLOT-T-2010;;12.90;;TRUE;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_123;Product;Opaco Rouge 2011;;;"Lisboa;2011;Casa Santos Lima;Rouge";LIS-CSL-OPACO-T-2011;;25.50;;TRUE;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_124;Product;Corvos Rouge 2015;;;"Lisboa;2015;Casa Santos Lima;Rouge";LIS-CSL-CORVOS-T-2015;;8.70;;TRUE;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_125;Product;Pluma Alvarinho Blanc 2016;;;"Minho;2016;Casa Santos Lima;Blanc";VVM-CSL-PLUMA-B-2016;;11.00;;TRUE;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_126;Product;Quinta das Amoras Blanc 2016;;;"Lisboa;2016;Casa Santos Lima;Blanc";LIS-CSL-AMORAS-B-2016;;6.50;;TRUE;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_127;Product;Quinta das Amoras Rouge 2016;;;"Lisboa;2016;Casa Santos Lima;Rouge";LIS-CSL-AMORAS-T-2016;;7.00;;TRUE;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_128;Product;Terra da Malta (BIB-5L) Blanc 2016;;;"Lisboa;2016;Casa Santos Lima;Blanc";LIS-CSL-TERRADAMALTA-B-2016;;26,40 €;;TRUE;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_129;Product;Touriga Nacional Rouge 2015;;;"Lisboa;2015;Casa Santos Lima;Rouge";LIS-CSL-TOURIGA-T-2015;;16.00;;TRUE;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_130;Product;Touriz Rouge 2010;;;"Lisboa;2010;Casa Santos Lima;Rouge";LIS-CSL-TOURIZ-T-2010;;17.90;;TRUE;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_131;Product;Quinta da Serradinha Regional Rouge 2014;;;"Lisboa;2014;Quinta da Serradinha BIO;Rouge";LIS-QDS-SERRADINHA-T-2014;;16.30;;TRUE;;;47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_132;Product;Quinta da Serradinha Regional Rouge 2012;;;"Lisboa;2012;Quinta da Serradinha BIO;Rouge";LIS-QDS-SERRADINHA-T-2012;;19.50;;TRUE;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_133;Product;Quinta da Serradinha Regional Rouge 2011;;;"Lisboa;2011;Quinta da Serradinha BIO;Rouge";LIS-QDS-SERRADINHA-T-2011;;18.50;;TRUE;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_134;Product;Quinta da Serradinha Regional Rouge 2010;;;"Lisboa;2010;Quinta da Serradinha BIO;Rouge";LIS-QDS-SERRADINHA-T-2010;;16.80;;TRUE;;;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_135;Product;Quinta da Serradinha Regional Encruzado e Arinto Blanc 2015;;;"Lisboa;2015;Quinta da Serradinha BIO;Blanc";LIS-QDS-SERRADINHAENCRUZ-B-2015;;25.00;;TRUE;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_136;Product;Quinta da Serradinha Regional Arinto e Fernão Pires Blanc 2015;;;"Lisboa;2015;Quinta da Serradinha BIO;Blanc";LIS-QDS-SERRADINHAFERNAO-B-2015;;19.00;;TRUE;;;63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_137;Product;Cabo da Roca Baga Rouge  2015;;;"Bairrada;2015;Casca Wines;Rouge ";BAI-CAW-ROCA-T-2015;;15.50;;TRUE;;;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_138;Product;Monte Cascas - Vinha da Cardosa DOC Rouge  2012;;;"Bairrada;2012;Casca Wines;Rouge ";BAI-CAW-CASCASCARDOSA-T-2012;;46.50;;TRUE;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_139;Product;BIO Monte Cascas Colheita Blanc 2017;;;"Beiras;2017;Casca Wines;Blanc";BEI-CAW-CASCASBIO-B-2017;;11.30;;TRUE;;;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_140;Product;Bio Monte Cascas Colheita Rouge 2017;;;"Beiras;2017;Casca Wines;Rouge";BEI-CAW-CASCASBIO-T-2017;;11.30;;TRUE;;;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_141;Product;Cabo da Roca Reserva Bucelas DOC Blanc 2017;;;"Lisboa;2017;Casca Wines;Blanc";LIS-CAW-ROCARSV-B-2017;;15.50;;TRUE;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_142;Product;Monte Cascas Colares Malvasia Blanc 2012;;;"Lisboa;2012;Casca Wines;Blanc";LIS-CAW-CASCASMALV-B-2012;;75.30;;TRUE;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_143;Product;Monte Cascas Colares Malvasia Blanc 2013;;;"Lisboa;2013;Casca Wines;Blanc";LIS-CAW-CASCASMALV-B-2013;;75.30;;TRUE;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_144;Product;Monte Cascas Colares Ramisco Rouge 2010;;;"Lisboa;2010;Casca Wines;Rouge";LIS-CAW-CASCASRAM-T-2010;;75.30;;TRUE;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_145;Product;Monte Cascas Colares Ramisco Rouge 2011;;;"Lisboa;2011;Casca Wines;Rouge";LIS-CAW-CASCASRAM-T-2011;;75.30;;TRUE;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_146;Product;Monte Cascas Vinha da Carpanha Rouge 2011;;;"Dao;2011;Casca Wines;Rouge";Dao-CAW-CASCACAP-T-2011;;46.00;;TRUE;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product_147;Product;Monte Cascas Lameiras Douro Rouge 2011;;;"Douro;2011;Casca Wines;Rouge";DOU-CAW-CASCASLAM-T-2011;;44.40;;TRUE;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
