handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2
OB40BJ14,Product,Aeroplane Jelly Original Mango 85g,,https://cdn1.woolworths.media/content/wowproductimages/medium/059407.jpg,Pantry;Baking,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF30EC12,Product,Aeroplane Jelly Original Orange 85g,,https://cdn1.woolworths.media/content/wowproductimages/medium/006081.jpg,Pantry;Baking,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM37RI41,Product,Aeroplane Jelly Original Port Wine 85g,,https://cdn1.woolworths.media/content/wowproductimages/medium/006082.jpg,Pantry;Baking,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BL36HS37,Product,Aeroplane Jelly Original Raspberry 85g,,https://cdn1.woolworths.media/content/wowproductimages/medium/006094.jpg,Pantry;Baking,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV74YD31,Product,Aeroplane Jelly Original Strawberry 85g,,https://cdn1.woolworths.media/content/wowproductimages/medium/006089.jpg,Pantry;Baking,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IY22GT30,Product,Aeroplane Jelly Purple Grape 85g,,https://cdn1.woolworths.media/content/wowproductimages/medium/327942.jpg,Pantry;Baking,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BT52KR32,Product,Aeroplane Jelly Reduced Sugar Lime 85g,,https://cdn1.woolworths.media/content/wowproductimages/medium/350110.jpg,Pantry;Baking,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HQ85KQ55,Product,Aeroplane Jelly Reduced Sugar Raspberry 85g,,https://cdn1.woolworths.media/content/wowproductimages/medium/310375.jpg,Pantry;Baking,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL36YV54,Product,Aeroplane Jelly Reduced Sugar Strawberry 85g,,https://cdn1.woolworths.media/content/wowproductimages/medium/310379.jpg,Pantry;Baking,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WM90FU49,Product,Anchor Lion Pastry Mix 750g,,https://cdn1.woolworths.media/content/wowproductimages/medium/205692.jpg,Pantry;Baking,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY88BZ68,Product,Angas Park Apricot Diced 200g,,https://cdn1.woolworths.media/content/wowproductimages/medium/076083.jpg,Pantry;Baking,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS73CM79,Product,Angas Park Apricot Dried 500g,,https://cdn1.woolworths.media/content/wowproductimages/medium/019598.jpg,Pantry;Baking,,,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN85IS72,Product,Angas Park Apricot Large Dried 200g,,https://cdn1.woolworths.media/content/wowproductimages/medium/047780.jpg,Pantry;Baking,,,9.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ML91BI48,Product,Angas Park Apricot Soft & Juicy Snack Pack 8x25g,,https://cdn1.woolworths.media/content/wowproductimages/medium/247348.jpg,Pantry;Baking,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QP52EV10,Product,Angas Park Figs Soft N Juicy 250g,,https://cdn1.woolworths.media/content/wowproductimages/medium/229894.jpg,Pantry;Baking,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
